Acacia Boat, acacia_boat
Birch Trapdoor, birch_trapdoor
Birch Wood, birch_wood
Black Banner, black_banner
Black Bed, black_bed
Black Bundle, black_bundle
Black Candle, black_candle
Black Carpet, black_carpet
Black Concrete, black_concrete
Black Concrete Powder, black_concrete_powder
Black Dye, black_dye
Black Glazed Terracotta, black_glazed_terracotta
Black Harness, black_harness
Black Shulker Box, black_shulker_box
Black Stained Glass, black_stained_glass
Black Stained Glass Pane, black_stained_glass_pane
Black Terracotta, black_terracotta
Black Wool, black_wool
Blackstone, blackstone
Blackstone Slab, blackstone_slab
Blackstone Stairs, blackstone_stairs
Blackstone Wall, blackstone_wall
Blade Pottery Sherd, blade_pottery_sherd
Blast Furnace, blast_furnace
Blaze Powder, blaze_powder
Blaze Rod, blaze_rod
Blaze Spawn Egg, blaze_spawn_egg
Blue Banner, blue_banner
Blue Bed, blue_bed
Blue Bundle, blue_bundle
Blue Candle, blue_candle
Blue Carpet, blue_carpet
Blue Concrete, blue_concrete
Blue Concrete Powder, blue_concrete_powder
Blue Dye, blue_dye
Blue Egg, blue_egg
Blue Glazed Terracotta, blue_glazed_terracotta
Blue Harness, blue_harness
Blue Ice, blue_ice
Blue Orchid, blue_orchid
Blue Shulker Box, blue_shulker_box
Blue Stained Glass, blue_stained_glass
Blue Stained Glass Pane, blue_stained_glass_pane
Blue Terracotta, blue_terracotta
Blue Wool, blue_wool
Bogged Spawn Egg, bogged_spawn_egg
Bolt Armor Trim Smithing Template, bolt_armor_trim_smithing_template
Bone, bone
Bone Block, bone_block
Bone Meal, bone_meal
Book, book
Bookshelf, bookshelf
Bordure Indented Banner Pattern, bordure_indented_banner_pattern
Bow, bow
Bowl, bowl
Brain Coral, brain_coral
Brain Coral Block, brain_coral_block
Brain Coral Fan, brain_coral_fan
Bread, bread
Breeze Rod, breeze_rod
Breeze Spawn Egg, breeze_spawn_egg
Brewer Pottery Sherd, brewer_pottery_sherd
Brewing Stand, brewing_stand
Brick, brick
Brick Slab, brick_slab
Brick Stairs, brick_stairs
Brick Wall, brick_wall
Bricks, bricks
Brown Banner, brown_banner
Brown Bed, brown_bed
Brown Bundle, brown_bundle
Brown Candle, brown_candle
Brown Carpet, brown_carpet
Brown Concrete, brown_concrete
Brown Concrete Powder, brown_concrete_powder
Brown Dye, brown_dye
Brown Egg, brown_egg
Brown Glazed Terracotta, brown_glazed_terracotta
Brown Harness, brown_harness
Brown Mushroom, brown_mushroom
Brown Mushroom Block, brown_mushroom_block
Brown Shulker Box, brown_shulker_box
Brown Stained Glass, brown_stained_glass
Brown Stained Glass Pane, brown_stained_glass_pane
Brown Terracotta, brown_terracotta
Brown Wool, brown_wool
Brush, brush
Bubble Coral, bubble_coral
Bubble Coral Block, bubble_coral_block
Bubble Coral Fan, bubble_coral_fan
Bucket, bucket
Budding Amethyst, budding_amethyst
Bundle, bundle
Burn Pottery Sherd, burn_pottery_sherd
Bush, bush
Cactus, cactus
Cactus Flower, cactus_flower
Cake, cake
Calcite, calcite
Calibrated Sculk Sensor, calibrated_sculk_sensor
Camel Spawn Egg, camel_spawn_egg
Campfire, campfire
Candle, candle
Carrot, carrot
Carrot On A Stick, carrot_on_a_stick
Cartography Table, cartography_table
Carved Pumpkin, carved_pumpkin
Cat Spawn Egg, cat_spawn_egg
Cauldron, cauldron
Cave Spider Spawn Egg, cave_spider_spawn_egg
Chain, chain
Chain Command Block, chain_command_block
Chainmail Boots, chainmail_boots
Chainmail Chestplate, chainmail_chestplate
Chainmail Helmet, chainmail_helmet
Chainmail Leggings, chainmail_leggings
Charcoal, charcoal
Cherry Boat, cherry_boat
Cherry Button, cherry_button
Cherry Chest Boat, cherry_chest_boat
Cherry Door, cherry_door
Cherry Fence, cherry_fence
Cherry Fence Gate, cherry_fence_gate
Cherry Hanging Sign, cherry_hanging_sign
Cherry Leaves, cherry_leaves
Cherry Log, cherry_log
Cherry Planks, cherry_planks
Cherry Pressure Plate, cherry_pressure_plate
Cherry Sapling, cherry_sapling
Cherry Shelf, cherry_shelf
Cherry Sign, cherry_sign
Cherry Slab, cherry_slab
Cherry Stairs, cherry_stairs
Cherry Trapdoor, cherry_trapdoor
Cherry Wood, cherry_wood
Chest, chest
Chest Minecart, chest_minecart
Chicken, chicken
Chicken Spawn Egg, chicken_spawn_egg
Chipped Anvil, chipped_anvil
Chiseled Bookshelf, chiseled_bookshelf
Chiseled Copper, chiseled_copper
Chiseled Deepslate, chiseled_deepslate
Chiseled Nether Bricks, chiseled_nether_bricks
Chiseled Polished Blackstone, chiseled_polished_blackstone
Chiseled Quartz Block, chiseled_quartz_block
Chiseled Red Sandstone, chiseled_red_sandstone
Chiseled Resin Bricks, chiseled_resin_bricks
Chiseled Sandstone, chiseled_sandstone
Chiseled Stone Bricks, chiseled_stone_bricks
Chiseled Tuff, chiseled_tuff
Chiseled Tuff Bricks, chiseled_tuff_bricks
Chorus Flower, chorus_flower
Chorus Fruit, chorus_fruit
Chorus Plant, chorus_plant
Clay, clay
Clay Ball, clay_ball
Clock, clock
Closed Eyeblossom, closed_eyeblossom
Coal, coal
Coal Block, coal_block
Coal Ore, coal_ore
Coarse Dirt, coarse_dirt
Coast Armor Trim Smithing Template, coast_armor_trim_smithing_template
Cobbled Deepslate, cobbled_deepslate
Cobbled Deepslate Slab, cobbled_deepslate_slab
Cobbled Deepslate Stairs, cobbled_deepslate_stairs
Cobbled Deepslate Wall, cobbled_deepslate_wall
Cobblestone, cobblestone
Cobblestone Slab, cobblestone_slab
Cobblestone Stairs, cobblestone_stairs
Cobblestone Wall, cobblestone_wall
Cobweb, cobweb
Cocoa Beans, cocoa_beans
Cod, cod
Cod Bucket, cod_bucket
Cod Spawn Egg, cod_spawn_egg
Command Block, command_block
Command Block Minecart, command_block_minecart
Comparator, comparator
Compass, compass
Composter, composter
Conduit, conduit
Cooked Beef, cooked_beef
Cooked Chicken, cooked_chicken
Cooked Cod, cooked_cod
Cooked Mutton, cooked_mutton
Cooked Porkchop, cooked_porkchop
Cooked Rabbit, cooked_rabbit
Cooked Salmon, cooked_salmon
Cookie, cookie
Copper Axe, copper_axe
Copper Bars, copper_bars
Copper Block, copper_block
Copper Boots, copper_boots
Copper Bulb, copper_bulb
Copper Chain, copper_chain
Copper Chest, copper_chest
Copper Chestplate, copper_chestplate
Copper Door, copper_door
Copper Golem Spawn Egg, copper_golem_spawn_egg
Copper Golem Statue, copper_golem_statue
Copper Grate, copper_grate
Copper Helmet, copper_helmet
Copper Hoe, copper_hoe
Copper Horse Armor, copper_horse_armor
Copper Ingot, copper_ingot
Copper Lantern, copper_lantern
Copper Leggings, copper_leggings
Copper Nugget, copper_nugget
Copper Ore, copper_ore
Copper Pickaxe, copper_pickaxe
Copper Shovel, copper_shovel
Copper Sword, copper_sword
Copper Torch, copper_torch
Copper Trapdoor, copper_trapdoor
Cornflower, cornflower
Cow Spawn Egg, cow_spawn_egg
Cracked Deepslate Bricks, cracked_deepslate_bricks
Cracked Deepslate Tiles, cracked_deepslate_tiles
Cracked Nether Bricks, cracked_nether_bricks
Cracked Polished Blackstone Bricks, cracked_polished_blackstone_bricks
Cracked Stone Bricks, cracked_stone_bricks
Crafter, crafter
Crafting Table, crafting_table
Creaking Heart, creaking_heart
Creaking Spawn Egg, creaking_spawn_egg
Creeper Banner Pattern, creeper_banner_pattern
Creeper Head, creeper_head
Creeper Spawn Egg, creeper_spawn_egg
Crimson Button, crimson_button
Crimson Door, crimson_door
Crimson Fence, crimson_fence
Crimson Fence Gate, crimson_fence_gate
Crimson Fungus, crimson_fungus
Crimson Hanging Sign, crimson_hanging_sign
Crimson Hyphae, crimson_hyphae
Crimson Nylium, crimson_nylium
Crimson Planks, crimson_planks
Crimson Pressure Plate, crimson_pressure_plate
Crimson Roots, crimson_roots
Crimson Shelf, crimson_shelf
Crimson Sign, crimson_sign
Crimson Slab, crimson_slab
Crimson Stairs, crimson_stairs
Crimson Stem, crimson_stem
Crimson Trapdoor, crimson_trapdoor
Crossbow, crossbow
Crying Obsidian, crying_obsidian
Cut Copper, cut_copper
Cut Copper Slab, cut_copper_slab
Cut Copper Stairs, cut_copper_stairs
Cut Red Sandstone, cut_red_sandstone
Cut Red Sandstone Slab, cut_red_sandstone_slab
Cut Sandstone, cut_sandstone
Cut Sandstone Slab, cut_sandstone_slab
Cyan Banner, cyan_banner
Cyan Bed, cyan_bed
Cyan Bundle, cyan_bundle
Cyan Candle, cyan_candle
Cyan Carpet, cyan_carpet
Cyan Concrete, cyan_concrete
Cyan Concrete Powder, cyan_concrete_powder
Cyan Dye, cyan_dye
Cyan Glazed Terracotta, cyan_glazed_terracotta
Cyan Harness, cyan_harness
Cyan Shulker Box, cyan_shulker_box
Cyan Stained Glass, cyan_stained_glass
Cyan Stained Glass Pane, cyan_stained_glass_pane
Cyan Terracotta, cyan_terracotta
Cyan Wool, cyan_wool
Damaged Anvil, damaged_anvil
Dandelion, dandelion
Danger Pottery Sherd, danger_pottery_sherd
Dark Oak Boat, dark_oak_boat
Dark Oak Button, dark_oak_button
Dark Oak Chest Boat, dark_oak_chest_boat
Dark Oak Door, dark_oak_door
Dark Oak Fence, dark_oak_fence
Dark Oak Fence Gate, dark_oak_fence_gate
Dark Oak Hanging Sign, dark_oak_hanging_sign
Dark Oak Leaves, dark_oak_leaves
Dark Oak Log, dark_oak_log
Dark Oak Planks, dark_oak_planks
Dark Oak Pressure Plate, dark_oak_pressure_plate
Dark Oak Sapling, dark_oak_sapling
Dark Oak Shelf, dark_oak_shelf
Dark Oak Sign, dark_oak_sign
Dark Oak Slab, dark_oak_slab
Dark Oak Stairs, dark_oak_stairs
Dark Oak Trapdoor, dark_oak_trapdoor
Dark Oak Wood, dark_oak_wood
Dark Prismarine, dark_prismarine
Dark Prismarine Slab, dark_prismarine_slab
Dark Prismarine Stairs, dark_prismarine_stairs
Daylight Detector, daylight_detector
Dead Brain Coral, dead_brain_coral
Dead Brain Coral Block, dead_brain_coral_block
Dead Brain Coral Fan, dead_brain_coral_fan
Dead Bubble Coral, dead_bubble_coral
Dead Bubble Coral Block, dead_bubble_coral_block
Dead Bubble Coral Fan, dead_bubble_coral_fan
Dead Bush, dead_bush
Dead Fire Coral, dead_fire_coral
Dead Fire Coral Block, dead_fire_coral_block
Dead Fire Coral Fan, dead_fire_coral_fan
Dead Horn Coral, dead_horn_coral
Dead Horn Coral Block, dead_horn_coral_block
Dead Horn Coral Fan, dead_horn_coral_fan
Dead Tube Coral, dead_tube_coral
Dead Tube Coral Block, dead_tube_coral_block
Dead Tube Coral Fan, dead_tube_coral_fan
Debug Stick, debug_stick
Decorated Pot, decorated_pot
Deepslate, deepslate
Deepslate Brick Slab, deepslate_brick_slab
Deepslate Brick Stairs, deepslate_brick_stairs
Deepslate Brick Wall, deepslate_brick_wall
Deepslate Bricks, deepslate_bricks
Deepslate Coal Ore, deepslate_coal_ore
Deepslate Copper Ore, deepslate_copper_ore
Deepslate Diamond Ore, deepslate_diamond_ore
Deepslate Emerald Ore, deepslate_emerald_ore
Deepslate Gold Ore, deepslate_gold_ore
Deepslate Iron Ore, deepslate_iron_ore
Deepslate Lapis Ore, deepslate_lapis_ore
Deepslate Redstone Ore, deepslate_redstone_ore
Deepslate Tile Slab, deepslate_tile_slab
Deepslate Tile Stairs, deepslate_tile_stairs
Deepslate Tile Wall, deepslate_tile_wall
Deepslate Tiles, deepslate_tiles
Detector Rail, detector_rail
Diamond, diamond
Diamond Axe, diamond_axe
Diamond Block, diamond_block
Diamond Boots, diamond_boots
Diamond Chestplate, diamond_chestplate
Diamond Helmet, diamond_helmet
Diamond Hoe, diamond_hoe
Diamond Horse Armor, diamond_horse_armor
Diamond Leggings, diamond_leggings
Diamond Ore, diamond_ore
Diamond Pickaxe, diamond_pickaxe
Diamond Shovel, diamond_shovel
Diamond Sword, diamond_sword
Diorite, diorite
Diorite Slab, diorite_slab
Diorite Stairs, diorite_stairs
Diorite Wall, diorite_wall
Dirt, dirt
Dirt Path, dirt_path
Disc Fragment 5, disc_fragment_5
Dispenser, dispenser
Dolphin Spawn Egg, dolphin_spawn_egg
Donkey Spawn Egg, donkey_spawn_egg
Dragon Breath, dragon_breath
Dragon Egg, dragon_egg
Dragon Head, dragon_head
Dried Ghast, dried_ghast
Dried Kelp, dried_kelp
Dried Kelp Block, dried_kelp_block
Dripstone Block, dripstone_block
Dropper, dropper
Drowned Spawn Egg, drowned_spawn_egg
Dune Armor Trim Smithing Template, dune_armor_trim_smithing_template
Echo Shard, echo_shard
Egg, egg
Elder Guardian Spawn Egg, elder_guardian_spawn_egg
Elytra, elytra
Emerald, emerald
Emerald Block, emerald_block
Emerald Ore, emerald_ore
Enchanted Book, enchanted_book
Enchanted Golden Apple, enchanted_golden_apple
Enchanting Table, enchanting_table
End Crystal, end_crystal
End Portal Frame, end_portal_frame
End Rod, end_rod
End Stone, end_stone
End Stone Brick Slab, end_stone_brick_slab
End Stone Brick Stairs, end_stone_brick_stairs
End Stone Brick Wall, end_stone_brick_wall
End Stone Bricks, end_stone_bricks
Ender Chest, ender_chest
Ender Dragon Spawn Egg, ender_dragon_spawn_egg
Ender Eye, ender_eye
Ender Pearl, ender_pearl
Enderman Spawn Egg, enderman_spawn_egg
Endermite Spawn Egg, endermite_spawn_egg
Evoker Spawn Egg, evoker_spawn_egg
Experience Bottle, experience_bottle
Explorer Pottery Sherd, explorer_pottery_sherd
Exposed Chiseled Copper, exposed_chiseled_copper
Exposed Copper, exposed_copper
Exposed Copper Bars, exposed_copper_bars
Exposed Copper Bulb, exposed_copper_bulb
Exposed Copper Chain, exposed_copper_chain
Exposed Copper Chest, exposed_copper_chest
Exposed Copper Door, exposed_copper_door
Exposed Copper Golem Statue, exposed_copper_golem_statue
Exposed Copper Grate, exposed_copper_grate
Exposed Copper Lantern, exposed_copper_lantern
Exposed Copper Trapdoor, exposed_copper_trapdoor
Exposed Cut Copper, exposed_cut_copper
Exposed Cut Copper Slab, exposed_cut_copper_slab
Exposed Cut Copper Stairs, exposed_cut_copper_stairs
Exposed Lightning Rod, exposed_lightning_rod
Eye Armor Trim Smithing Template, eye_armor_trim_smithing_template
Farmland, farmland
Feather, feather
Fermented Spider Eye, fermented_spider_eye
Fern, fern
Field Masoned Banner Pattern, field_masoned_banner_pattern
Filled Map, filled_map
Fire Charge, fire_charge
Fire Coral, fire_coral
Fire Coral Block, fire_coral_block
Fire Coral Fan, fire_coral_fan
Firefly Bush, firefly_bush
Firework Rocket, firework_rocket
Firework Star, firework_star
Fishing Rod, fishing_rod
Fletching Table, fletching_table
Flint, flint
Flint And Steel, flint_and_steel
Flow Armor Trim Smithing Template, flow_armor_trim_smithing_template
Flow Banner Pattern, flow_banner_pattern
Flow Pottery Sherd, flow_pottery_sherd
Flower Banner Pattern, flower_banner_pattern
Flower Pot, flower_pot
Flowering Azalea, flowering_azalea
Flowering Azalea Leaves, flowering_azalea_leaves
Fox Spawn Egg, fox_spawn_egg
Friend Pottery Sherd, friend_pottery_sherd
Frog Spawn Egg, frog_spawn_egg
Frogspawn, frogspawn
Furnace, furnace
Furnace Minecart, furnace_minecart
Ghast Spawn Egg, ghast_spawn_egg
Ghast Tear, ghast_tear
Gilded Blackstone, gilded_blackstone
Glass, glass
Glass Bottle, glass_bottle
Glass Pane, glass_pane
Glistering Melon Slice, glistering_melon_slice
Globe Banner Pattern, globe_banner_pattern
Glow Berries, glow_berries
Glow Ink Sac, glow_ink_sac
Glow Item Frame, glow_item_frame
Glow Lichen, glow_lichen
Glow Squid Spawn Egg, glow_squid_spawn_egg
Glowstone, glowstone
Glowstone Dust, glowstone_dust
Goat Horn, goat_horn
Goat Spawn Egg, goat_spawn_egg
Gold Block, gold_block
Gold Ingot, gold_ingot
Gold Nugget, gold_nugget
Gold Ore, gold_ore
Golden Apple, golden_apple
Golden Axe, golden_axe
Golden Boots, golden_boots
Golden Carrot, golden_carrot
Golden Chestplate, golden_chestplate
Golden Helmet, golden_helmet
Golden Hoe, golden_hoe
Golden Horse Armor, golden_horse_armor
Golden Leggings, golden_leggings
Golden Pickaxe, golden_pickaxe
Golden Shovel, golden_shovel
Golden Sword, golden_sword
Granite, granite
Granite Slab, granite_slab
Granite Stairs, granite_stairs
Granite Wall, granite_wall
Grass Block, grass_block
Gravel, gravel
Gray Banner, gray_banner
Gray Bed, gray_bed
Gray Bundle, gray_bundle
Gray Candle, gray_candle
Gray Carpet, gray_carpet
Gray Concrete, gray_concrete
Gray Concrete Powder, gray_concrete_powder
Gray Dye, gray_dye
Gray Glazed Terracotta, gray_glazed_terracotta
Gray Harness, gray_harness
Gray Shulker Box, gray_shulker_box
Gray Stained Glass, gray_stained_glass
Gray Stained Glass Pane, gray_stained_glass_pane
Gray Terracotta, gray_terracotta
Gray Wool, gray_wool
Green Banner, green_banner
Green Bed, green_bed
Green Bundle, green_bundle
Green Candle, green_candle
Green Carpet, green_carpet
Green Concrete, green_concrete
Green Concrete Powder, green_concrete_powder
Green Dye, green_dye
Green Glazed Terracotta, green_glazed_terracotta
Green Harness, green_harness
Green Shulker Box, green_shulker_box
Green Stained Glass, green_stained_glass
Green Stained Glass Pane, green_stained_glass_pane
Green Terracotta, green_terracotta
Green Wool, green_wool
Grindstone, grindstone
Guardian Spawn Egg, guardian_spawn_egg
Gunpowder, gunpowder
Guster Banner Pattern, guster_banner_pattern
Guster Pottery Sherd, guster_pottery_sherd
Hanging Roots, hanging_roots
Happy Ghast Spawn Egg, happy_ghast_spawn_egg
Hay Block, hay_block
Heart Of The Sea, heart_of_the_sea
Heart Pottery Sherd, heart_pottery_sherd
Heartbreak Pottery Sherd, heartbreak_pottery_sherd
Heavy Core, heavy_core
Heavy Weighted Pressure Plate, heavy_weighted_pressure_plate
Hoglin Spawn Egg, hoglin_spawn_egg
Honey Block, honey_block
Honey Bottle, honey_bottle
Honeycomb, honeycomb
Honeycomb Block, honeycomb_block
Hopper, hopper
Hopper Minecart, hopper_minecart
Horn Coral, horn_coral
Horn Coral Block, horn_coral_block
Horn Coral Fan, horn_coral_fan
Horse Spawn Egg, horse_spawn_egg
Host Armor Trim Smithing Template, host_armor_trim_smithing_template
Howl Pottery Sherd, howl_pottery_sherd
Husk Spawn Egg, husk_spawn_egg
Ice, ice
Infested Chiseled Stone Bricks, infested_chiseled_stone_bricks
Infested Cobblestone, infested_cobblestone
Infested Cracked Stone Bricks, infested_cracked_stone_bricks
Infested Deepslate, infested_deepslate
Infested Mossy Stone Bricks, infested_mossy_stone_bricks
Infested Stone, infested_stone
Infested Stone Bricks, infested_stone_bricks
Ink Sac, ink_sac
Iron Axe, iron_axe
Iron Bars, iron_bars
Iron Block, iron_block
Iron Boots, iron_boots
Iron Chain, iron_chain
Iron Chestplate, iron_chestplate
Iron Door, iron_door
Iron Golem Spawn Egg, iron_golem_spawn_egg
Iron Helmet, iron_helmet
Iron Hoe, iron_hoe
Iron Horse Armor, iron_horse_armor
Iron Ingot, iron_ingot
Iron Leggings, iron_leggings
Iron Nugget, iron_nugget
Iron Ore, iron_ore
Iron Pickaxe, iron_pickaxe
Iron Shovel, iron_shovel
Iron Sword, iron_sword
Iron Trapdoor, iron_trapdoor
Item Frame, item_frame
Jack O Lantern, jack_o_lantern
Jigsaw, jigsaw
Jukebox, jukebox
Jungle Boat, jungle_boat
Jungle Button, jungle_button
Jungle Chest Boat, jungle_chest_boat
Jungle Door, jungle_door
Jungle Fence, jungle_fence
Jungle Fence Gate, jungle_fence_gate
Jungle Hanging Sign, jungle_hanging_sign
Jungle Leaves, jungle_leaves
Jungle Log, jungle_log
Jungle Planks, jungle_planks
Jungle Pressure Plate, jungle_pressure_plate
Jungle Sapling, jungle_sapling
Jungle Shelf, jungle_shelf
Jungle Sign, jungle_sign
Jungle Slab, jungle_slab
Jungle Stairs, jungle_stairs
Jungle Trapdoor, jungle_trapdoor
Jungle Wood, jungle_wood
Kelp, kelp
Knowledge Book, knowledge_book
Ladder, ladder
Lantern, lantern
Lapis Block, lapis_block
Lapis Lazuli, lapis_lazuli
Lapis Ore, lapis_ore
Large Amethyst Bud, large_amethyst_bud
Large Fern, large_fern
Lava Bucket, lava_bucket
Lead, lead
Leaf Litter, leaf_litter
Leather, leather
Leather Boots, leather_boots
Leather Chestplate, leather_chestplate
Leather Helmet, leather_helmet
Leather Horse Armor, leather_horse_armor
Leather Leggings, leather_leggings
Lectern, lectern
Lever, lever
Light, light
Light Blue Banner, light_blue_banner
Light Blue Bed, light_blue_bed
Light Blue Bundle, light_blue_bundle
Light Blue Candle, light_blue_candle
Light Blue Carpet, light_blue_carpet
Light Blue Concrete, light_blue_concrete
Light Blue Concrete Powder, light_blue_concrete_powder
Light Blue Dye, light_blue_dye
Light Blue Glazed Terracotta, light_blue_glazed_terracotta
Light Blue Harness, light_blue_harness
Light Blue Shulker Box, light_blue_shulker_box
Light Blue Stained Glass, light_blue_stained_glass
Light Blue Stained Glass Pane, light_blue_stained_glass_pane
Light Blue Terracotta, light_blue_terracotta
Light Blue Wool, light_blue_wool
Light Gray Banner, light_gray_banner
Light Gray Bed, light_gray_bed
Light Gray Bundle, light_gray_bundle
Light Gray Candle, light_gray_candle
Light Gray Carpet, light_gray_carpet
Light Gray Concrete, light_gray_concrete
Light Gray Concrete Powder, light_gray_concrete_powder
Light Gray Dye, light_gray_dye
Light Gray Glazed Terracotta, light_gray_glazed_terracotta
Light Gray Harness, light_gray_harness
Light Gray Shulker Box, light_gray_shulker_box
Light Gray Stained Glass, light_gray_stained_glass
Light Gray Stained Glass Pane, light_gray_stained_glass_pane
Light Gray Terracotta, light_gray_terracotta
Light Gray Wool, light_gray_wool
Light Weighted Pressure Plate, light_weighted_pressure_plate
Lightning Rod, lightning_rod
Lilac, lilac
Lily Of The Valley, lily_of_the_valley
Lily Pad, lily_pad
Lime Banner, lime_banner
Lime Bed, lime_bed
Lime Bundle, lime_bundle
Lime Candle, lime_candle
Lime Carpet, lime_carpet
Lime Concrete, lime_concrete
Lime Concrete Powder, lime_concrete_powder
Lime Dye, lime_dye
Lime Glazed Terracotta, lime_glazed_terracotta
Lime Harness, lime_harness
Lime Shulker Box, lime_shulker_box
Lime Stained Glass, lime_stained_glass
Lime Stained Glass Pane, lime_stained_glass_pane
Lime Terracotta, lime_terracotta
Lime Wool, lime_wool
Lingering Potion, lingering_potion
Llama Spawn Egg, llama_spawn_egg
Lodestone, lodestone
Loom, loom
Mace, mace
Magenta Banner, magenta_banner
Magenta Bed, magenta_bed
Magenta Bundle, magenta_bundle
Magenta Candle, magenta_candle
Magenta Carpet, magenta_carpet
Magenta Concrete, magenta_concrete
Magenta Concrete Powder, magenta_concrete_powder
Magenta Dye, magenta_dye
Magenta Glazed Terracotta, magenta_glazed_terracotta
Magenta Harness, magenta_harness
Magenta Shulker Box, magenta_shulker_box
Magenta Stained Glass, magenta_stained_glass
Magenta Stained Glass Pane, magenta_stained_glass_pane
Magenta Terracotta, magenta_terracotta
Magenta Wool, magenta_wool
Magma Block, magma_block
Magma Cream, magma_cream
Magma Cube Spawn Egg, magma_cube_spawn_egg
Mangrove Boat, mangrove_boat
Mangrove Button, mangrove_button
Mangrove Chest Boat, mangrove_chest_boat
Mangrove Door, mangrove_door
Mangrove Fence, mangrove_fence
Mangrove Fence Gate, mangrove_fence_gate
Mangrove Hanging Sign, mangrove_hanging_sign
Mangrove Leaves, mangrove_leaves
Mangrove Log, mangrove_log
Mangrove Planks, mangrove_planks
Mangrove Pressure Plate, mangrove_pressure_plate
Mangrove Propagule, mangrove_propagule
Mangrove Roots, mangrove_roots
Mangrove Shelf, mangrove_shelf
Mangrove Sign, mangrove_sign
Mangrove Slab, mangrove_slab
Mangrove Stairs, mangrove_stairs
Mangrove Trapdoor, mangrove_trapdoor
Mangrove Wood, mangrove_wood
Map, map
Medium Amethyst Bud, medium_amethyst_bud
Melon, melon
Melon Seeds, melon_seeds
Melon Slice, melon_slice
Milk Bucket, milk_bucket
Minecart, minecart
Miner Pottery Sherd, miner_pottery_sherd
Mojang Banner Pattern, mojang_banner_pattern
Mooshroom Spawn Egg, mooshroom_spawn_egg
Moss Block, moss_block
Moss Carpet, moss_carpet
Mossy Cobblestone, mossy_cobblestone
Mossy Cobblestone Slab, mossy_cobblestone_slab
Mossy Cobblestone Stairs, mossy_cobblestone_stairs
Mossy Cobblestone Wall, mossy_cobblestone_wall
Mossy Stone Brick Slab, mossy_stone_brick_slab
Mossy Stone Brick Stairs, mossy_stone_brick_stairs
Mossy Stone Brick Wall, mossy_stone_brick_wall
Mossy Stone Bricks, mossy_stone_bricks
Mourner Pottery Sherd, mourner_pottery_sherd
Mud, mud
Mud Brick Slab, mud_brick_slab
Mud Brick Stairs, mud_brick_stairs
